stream_ID,year,month,day,Value
flow_236212,1977,3,18,0.243
flow_236212,1977,3,19,0.229
flow_236212,1977,3,20,0.229
flow_236212,1977,3,21,0.23
flow_236212,1977,3,22,0.224
flow_236212,1977,3,23,0.218
flow_236212,1977,3,24,0.234
flow_236212,1977,3,25,0.241
flow_236212,1977,3,26,0.242
flow_236212,1977,3,27,0.246
flow_236212,1977,3,28,0.27
flow_236212,1977,3,29,0.284
flow_236212,1977,3,30,0.27
flow_236212,1977,3,31,0.258
flow_236212,1977,4,1,0.252
flow_236212,1977,4,2,0.25
flow_236212,1977,4,3,0.243
flow_236212,1977,4,4,0.238
flow_236212,1977,4,5,0.238
flow_236212,1977,4,6,0.236
flow_236212,1977,4,7,0.233
flow_236212,1977,4,8,0.237
flow_236212,1977,4,9,0.246
flow_236212,1977,4,10,0.246
flow_236212,1977,4,11,0.246
flow_236212,1977,4,12,0.246
flow_236212,1977,4,13,0.252
flow_236212,1977,4,14,0.259
flow_236212,1977,4,15,0.259
flow_236212,1977,4,16,0.261
flow_236212,1977,4,17,0.265
flow_236212,1977,4,18,0.266
flow_236212,1977,4,19,0.27
flow_236212,1977,4,20,0.271
flow_236212,1977,4,21,0.271
flow_236212,1977,4,22,0.271
flow_236212,1977,4,23,0.271
flow_236212,1977,4,24,0.271
flow_236212,1977,4,25,0.271
flow_236212,1977,4,26,0.271
flow_236212,1977,4,27,0.271
flow_236212,1977,4,28,0.263
flow_236212,1977,4,29,0.258
flow_236212,1977,4,30,0.257
flow_236212,1977,5,1,0.257
flow_236212,1977,5,2,0.249
flow_236212,1977,5,3,0.25
flow_236212,1977,5,4,0.251
flow_236212,1977,5,5,0.244
flow_236212,1977,5,6,0.285
flow_236212,1977,5,7,0.278
flow_236212,1977,5,8,0.261
flow_236212,1977,5,9,0.26
flow_236212,1977,5,10,0.274
flow_236212,1977,5,11,0.291
flow_236212,1977,5,12,0.314
flow_236212,1977,5,13,0.31
flow_236212,1977,5,14,0.286
flow_236212,1977,5,15,0.275
flow_236212,1977,5,16,0.271
flow_236212,1977,5,17,0.267
flow_236212,1977,5,18,0.266
flow_236212,1977,5,19,0.268
flow_236212,1977,5,20,0.273
flow_236212,1977,5,21,0.312
flow_236212,1977,5,22,0.372
flow_236212,1977,5,23,0.371
flow_236212,1977,5,24,0.352
flow_236212,1977,5,25,0.344
flow_236212,1977,5,26,0.313
flow_236212,1977,5,27,0.299
flow_236212,1977,5,28,0.289
